study,source,dbase,Inst,hcp_variable,variable_label,variable_type,variable_options,nda_structure,nda_element,structure_label,element_label,element_description,element_values,inst_short,template,action_request,hcp_variable_upload,specialty_code,requested_python,version,form,hcpdchild,hcpdparent,hcpd18
HCPD,REDCap,hcpd18,,asr15,,,,asr01,asr3_3,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr15,,"asr15=pd.to_numeric(studydata.asr15,errors='coerce')+1; studydata.asr15=asr15.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr16,,,,asr01,asr3_4,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr16,,"asr16=pd.to_numeric(studydata.asr16,errors='coerce')+1; studydata.asr16=asr16.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr17,,,,asr01,asr3_5,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr17,,"asr17=pd.to_numeric(studydata.asr17,errors='coerce')+1; studydata.asr17=asr17.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr18,,,,asr01,asr3_6,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr18,,"asr18=pd.to_numeric(studydata.asr18,errors='coerce')+1; studydata.asr18=asr18.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr19,,,,asr01,asr4_1,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr19,,"asr19=pd.to_numeric(studydata.asr19,errors='coerce')+1; studydata.asr19=asr19.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr20,,,,asr01,asr4_2,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr20,,"asr20=pd.to_numeric(studydata.asr20,errors='coerce')+1; studydata.asr20=asr20.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr21,,,,asr01,asr4_3,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr21,,"asr21=pd.to_numeric(studydata.asr21,errors='coerce')+1; studydata.asr21=asr21.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr22,,,,asr01,asr4_4,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr22,,"asr22=pd.to_numeric(studydata.asr22,errors='coerce')+1; studydata.asr22=asr22.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr23,,,,asr01,asr4_5,,,,,,,Please rename this column 'asr4_5' to avoid a naming conflict in our database.  Please increment your 0::2 scale to a 1::3 scale.,asr4_5,,"asr23=pd.to_numeric(studydata.asr23,errors='coerce')+1; studydata.asr23=asr23.fillna(-99).astype(int).astype(str).str.replace('-99',''); studydata['asr4_5']=studydata['asr23']",,,True,True,True
HCPD,REDCap,hcpd18,,asr24,,,,asr01,asr4_6,,,,,,,Please rename this column 'asr4_6' to avoid a naming conflict in our database.Please increment your 0::2 scale to a 1::3 scale.,asr4_6,,"asr24=pd.to_numeric(studydata.asr24,errors='coerce')+1; studydata.asr24=asr24.fillna(-99).astype(int).astype(str).str.replace('-99',''); studydata['asr4_6']=studydata['asr24']",,,True,True,True
HCPD,REDCap,hcpd18,,asr25,,,,asr01,asr5_1,,,,,,,Please rename this column 'asr5_1' to avoid a naming conflict in our database.Please increment your 0::2 scale to a 1::3 scale.,asr5_1,,"asr25=pd.to_numeric(studydata.asr25,errors='coerce')+1; studydata.asr25=asr25.fillna(-99).astype(int).astype(str).str.replace('-99',''); studydata['asr5_1']=studydata['asr25']",,,True,True,True
HCPD,REDCap,hcpd18,,asr26,,,,asr01,asr5_2,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr26,,"asr26=pd.to_numeric(studydata.asr26,errors='coerce')+1; studydata.asr26=asr26.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr27,,,,asr01,asr5_3,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr27,,"asr27=pd.to_numeric(studydata.asr27,errors='coerce')+1; studydata.asr27=asr27.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr28,,,,asr01,asr5_4,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr28,,"asr28=pd.to_numeric(studydata.asr28,errors='coerce')+1; studydata.asr28=asr28.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr29,,,,asr01,asr5_5,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr29,,"asr29=pd.to_numeric(studydata.asr29,errors='coerce')+1; studydata.asr29=asr29.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr29des,,,,asr01,asr5_5_text,,,,,,,,,,,,,True,True,True
HCPD,REDCap,hcpd18,,asr30,,,,asr01,asr5_6,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr30,,"asr30=pd.to_numeric(studydata.asr30,errors='coerce')+1; studydata.asr30=asr30.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr31,,,,asr01,asr6_1,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr31,,"asr31=pd.to_numeric(studydata.asr31,errors='coerce')+1; studydata.asr31=asr31.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr32,,,,asr01,asr6_2,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr32,,"asr32=pd.to_numeric(studydata.asr32,errors='coerce')+1; studydata.asr32=asr32.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr33,,,,asr01,asr6_3,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr33,,"asr33=pd.to_numeric(studydata.asr33,errors='coerce')+1; studydata.asr33=asr33.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr34,,,,asr01,asr6_4,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr34,,"asr34=pd.to_numeric(studydata.asr34,errors='coerce')+1; studydata.asr34=asr34.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr35,,,,asr01,asr6_5,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr35,,"asr35=pd.to_numeric(studydata.asr35,errors='coerce')+1; studydata.asr35=asr35.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr36,,,,asr01,asr6_6,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr36,,"asr36=pd.to_numeric(studydata.asr36,errors='coerce')+1; studydata.asr36=asr36.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr37,,,,asr01,asr7_1,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr37,,"asr37=pd.to_numeric(studydata.asr37,errors='coerce')+1; studydata.asr37=asr37.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr38,,,,asr01,asr7_2,,,,,,,Please rename this column 'asr7_2' to avoid a naming conflict in our database.  Please increment your 0::2 scale to a 1::3 scale.,asr7_2,,"asr38=pd.to_numeric(studydata.asr38,errors='coerce')+1; studydata.asr38=asr38.fillna(-99).astype(int).astype(str).str.replace('-99',''); studydata['asr7_2']=studydata['asr38']",,,True,True,True
HCPD,REDCap,hcpd18,,asr39,,,,asr01,asr7_3,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr39,,"asr39=pd.to_numeric(studydata.asr39,errors='coerce')+1; studydata.asr39=asr39.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr40,,,,asr01,asr7_4,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr40,,"asr40=pd.to_numeric(studydata.asr40,errors='coerce')+1; studydata.asr40=asr40.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr40des,,,,asr01,asr7_4_text,,,,,,,,,,,,,True,True,True
HCPD,REDCap,hcpd18,,asr41,,,,asr01,asr7_5,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr41,,"asr41=pd.to_numeric(studydata.asr41,errors='coerce')+1; studydata.asr41=asr41.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr42,,,,asr01,asr7_6,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr42,,"asr42=pd.to_numeric(studydata.asr42,errors='coerce')+1; studydata.asr42=asr42.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr43,,,,asr01,asr8_1,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr43,,"asr43=pd.to_numeric(studydata.asr43,errors='coerce')+1; studydata.asr43=asr43.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr44,,,,asr01,asr8_2,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr44,,"asr44=pd.to_numeric(studydata.asr44,errors='coerce')+1; studydata.asr44=asr44.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr45,,,,asr01,asr8_3,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr45,,"asr45=pd.to_numeric(studydata.asr45,errors='coerce')+1; studydata.asr45=asr45.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr46,,,,asr01,asr8_4,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr46,,"asr46=pd.to_numeric(studydata.asr46,errors='coerce')+1; studydata.asr46=asr46.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr46des,,,,asr01,asr8_4_text,,,,,,,,,,,,,True,True,True
HCPD,REDCap,hcpd18,,asr47,,,,asr01,asr8_5,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr47,,"asr47=pd.to_numeric(studydata.asr47,errors='coerce')+1; studydata.asr47=asr47.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr48,,,,asr01,asr8_6,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr48,,"asr48=pd.to_numeric(studydata.asr48,errors='coerce')+1; studydata.asr48=asr48.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr49,,,,asr01,asr9_1,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr49,,"asr49=pd.to_numeric(studydata.asr49,errors='coerce')+1; studydata.asr49=asr49.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr50,,,,asr01,asr9_2,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr50,,"asr50=pd.to_numeric(studydata.asr50,errors='coerce')+1; studydata.asr50=asr50.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr51,,,,asr01,asr9_3,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr51,,"asr51=pd.to_numeric(studydata.asr51,errors='coerce')+1; studydata.asr51=asr51.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr52,,,,asr01,asr9_4,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr52,,"asr52=pd.to_numeric(studydata.asr52,errors='coerce')+1; studydata.asr52=asr52.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr53,,,,asr01,asr9_5,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr53,,"asr53=pd.to_numeric(studydata.asr53,errors='coerce')+1; studydata.asr53=asr53.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr54,,,,asr01,asr9_6,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr54,,"asr54=pd.to_numeric(studydata.asr54,errors='coerce')+1; studydata.asr54=asr54.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr55,,,,asr01,asr10_1,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr55,,"asr55=pd.to_numeric(studydata.asr55,errors='coerce')+1; studydata.asr55=asr55.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr56a,,,,asr01,asr10_3,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr56a,,"asr56a=pd.to_numeric(studydata.asr56a,errors='coerce')+1; studydata.asr56a=asr56a.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr56b,,,,asr01,asr10_4,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr56b,,"asr56b=pd.to_numeric(studydata.asr56b,errors='coerce')+1; studydata.asr56b=asr56b.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr56c,,,,asr01,asr10_5,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr56c,,"asr56c=pd.to_numeric(studydata.asr56c,errors='coerce')+1; studydata.asr56c=asr56c.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr56d,,,,asr01,asr10_6,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr56d,,"asr56d=pd.to_numeric(studydata.asr56d,errors='coerce')+1; studydata.asr56d=asr56d.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr56ddes,,,,asr01,asr10_6_text,,,,,,,,,,,,,True,True,True
HCPD,REDCap,hcpd18,,asr56e,,,,asr01,asr11_1,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr56e,,"asr56e=pd.to_numeric(studydata.asr56e,errors='coerce')+1; studydata.asr56e=asr56e.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr56f,,,,asr01,asr11_2,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr56f,,"asr56f=pd.to_numeric(studydata.asr56f,errors='coerce')+1; studydata.asr56f=asr56f.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr56g,,,,asr01,asr11_3,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr56g,,"asr56g=pd.to_numeric(studydata.asr56g,errors='coerce')+1; studydata.asr56g=asr56g.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr56h,,,,asr01,asr11_4,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr56h,,"asr56h=pd.to_numeric(studydata.asr56h,errors='coerce')+1; studydata.asr56h=asr56h.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr56i,,,,asr01,asr11_5,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr56i,,"asr56i=pd.to_numeric(studydata.asr56i,errors='coerce')+1; studydata.asr56i=asr56i.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr57,,,,asr01,asr11_6,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr57,,"asr57=pd.to_numeric(studydata.asr57,errors='coerce')+1; studydata.asr57=asr57.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr58,,,,asr01,asr12_1,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr58,,"asr58=pd.to_numeric(studydata.asr58,errors='coerce')+1; studydata.asr58=asr58.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr58des,,,,asr01,asr12_1_text,,,,,,,,,,,,,True,True,True
HCPD,REDCap,hcpd18,,asr59,,,,asr01,asr12_2,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr59,,"asr59=pd.to_numeric(studydata.asr59,errors='coerce')+1; studydata.asr59=asr59.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr60,,,,asr01,asr12_3,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr60,,"asr60=pd.to_numeric(studydata.asr60,errors='coerce')+1; studydata.asr60=asr60.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr61,,,,asr01,asr12_4,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr61,,"asr61=pd.to_numeric(studydata.asr61,errors='coerce')+1; studydata.asr61=asr61.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr62,,,,asr01,asr12_5,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr62,,"asr62=pd.to_numeric(studydata.asr62,errors='coerce')+1; studydata.asr62=asr62.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr63,,,,asr01,asr12_6,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr63,,"asr63=pd.to_numeric(studydata.asr63,errors='coerce')+1; studydata.asr63=asr63.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr64,,,,asr01,asr13_1,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr64,,"asr64=pd.to_numeric(studydata.asr64,errors='coerce')+1; studydata.asr64=asr64.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr65,,,,asr01,asr13_2,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr65,,"asr65=pd.to_numeric(studydata.asr65,errors='coerce')+1; studydata.asr65=asr65.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr66,,,,asr01,asr13_3,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr66,,"asr66=pd.to_numeric(studydata.asr66,errors='coerce')+1; studydata.asr66=asr66.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr66des,,,,asr01,asr13_3_text,,,,,,,,,,,,,True,True,True
HCPD,REDCap,hcpd18,,asr67,,,,asr01,asr13_4,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr67,,"asr67=pd.to_numeric(studydata.asr67,errors='coerce')+1; studydata.asr67=asr67.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr68,,,,asr01,asr13_5,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr68,,"asr68=pd.to_numeric(studydata.asr68,errors='coerce')+1; studydata.asr68=asr68.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr69,,,,asr01,asr13_6,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr69,,"asr69=pd.to_numeric(studydata.asr69,errors='coerce')+1; studydata.asr69=asr69.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr70,,,,asr01,asr14_1,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr70,,"asr70=pd.to_numeric(studydata.asr70,errors='coerce')+1; studydata.asr70=asr70.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr70des,,,,asr01,asr14_1_text,,,,,,,,,,,,,True,True,True
HCPD,REDCap,hcpd18,,asr71,,,,asr01,asr14_2,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr71,,"asr71=pd.to_numeric(studydata.asr71,errors='coerce')+1; studydata.asr71=asr71.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr72,,,,asr01,asr14_3,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr72,,"asr72=pd.to_numeric(studydata.asr72,errors='coerce')+1; studydata.asr72=asr72.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr73,,,,asr01,asr14_4,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr73,,"asr73=pd.to_numeric(studydata.asr73,errors='coerce')+1; studydata.asr73=asr73.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr74,,,,asr01,asr14_5,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr74,,"asr74=pd.to_numeric(studydata.asr74,errors='coerce')+1; studydata.asr74=asr74.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr75,,,,asr01,asr14_6,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr75,,"asr75=pd.to_numeric(studydata.asr75,errors='coerce')+1; studydata.asr75=asr75.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr76,,,,asr01,asr15_1,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr76,,"asr76=pd.to_numeric(studydata.asr76,errors='coerce')+1; studydata.asr76=asr76.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr77,,,,asr01,asr15_2,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr77,,"asr77=pd.to_numeric(studydata.asr77,errors='coerce')+1; studydata.asr77=asr77.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr77des,,,,asr01,asr15_2_text,,,,,,,,,,,,,True,True,True
HCPD,REDCap,hcpd18,,asr78,,,,asr01,asr15_3,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr78,,"asr78=pd.to_numeric(studydata.asr78,errors='coerce')+1; studydata.asr78=asr78.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr79,,,,asr01,asr15_4,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr79,,"asr79=pd.to_numeric(studydata.asr79,errors='coerce')+1; studydata.asr79=asr79.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
